# EVCHOP_TRANSACTION_ID,GAME_TYPE,TOURNAMENT_TYPE,BIG_BLIND,HAND_ID,TABLE_ID,NO_OF_USERS,TRANSACTION_AMOUNT,TRANSACTION_ID,TRANSACTION_TYPE_ID,TRANSACTION_STATUS_ID,CREATED_DATE,LAST_UPDATED_DATE,,evChopFees,debit_pot_after_rake,splash_drop_amount,ev_profitloss,remainingSplashDropAmount,no of users,splash_fees,remaining_pot_after_rake,splash_drop,,,
400,TEXAS_HOLDEM,RING,6,27211370002,2721137,2,12,272113700022721000,208,329,5/22/2025 8:42,5/22/2025 8:42,,0.4,43.74,12,30.42,8.46,1,0.11,74.16,3.54,,,
407,TEXAS_HOLDEM,RING,6,27211370008,2721137,2,6,272113700082721000,208,329,5/22/2025 8:47,5/22/2025 8:47,,1.13,68.73,6,-37.64,2.81,1,0.1,31.09,3.19,,,
549,TEXAS_HOLDEM,RING,6,27211450011,2721145,3,4.8,272114500112721000,208,329,5/22/2025 9:18,5/22/2025 9:18,,0,132.66,4.8,0,4.8,0,,132.66,,,,
1023,TEXAS_HOLDEM,RING,6,27211570014,2721157,3,4.8,272115700142721000,208,329,5/22/2025 10:08,5/22/2025 10:08,,0,204.66,4.8,0,4.8,0,,204.66,,,,
1528,TEXAS_HOLDEM,RING,6,27211600032,2721160,2,4.8,272116000322721000,208,329,5/22/2025 10:35,5/22/2025 10:35,,0.27,79.37,4.8,-9.02,4.27,1,0.02,70.35,0.53,,,
13183,TEXAS_HOLDEM,RING,10,27216080119,2721608,2,100,272160801192721000,208,329,5/22/2025 14:33,5/22/2025 14:33,,0,294.35,100,0,100,0,,294.35,,,,
23902,TEXAS_HOLDEM,RING,5,27216000246,2721600,2,75,272160002462721000,208,329,5/22/2025 16:17,5/22/2025 16:17,,0,238.87,75,0,75,0,,238.87,,,,
28747,TEXAS_HOLDEM,RING,100,27225520038,2722552,4,12500,272255200382722000,208,329,5/22/2025 17:05,5/22/2025 17:05,,90.47,7645.14,12500,-3015.81,8347.19,1,128.44,4629.33,4152.81,,,
44497,TEXAS_HOLDEM,RING,50,27234020010,2723402,2,1250,272340200102723000,208,329,5/22/2025 20:36,5/22/2025 20:36,,0,1698.99,1250,0,1250,0,,1698.99,,,,
66466,TEXAS_HOLDEM,ALLINFOLD,1,8796250210,879625,3,10,8796250210879620,208,329,5/23/2025 2:09,5/23/2025 2:09,,0.07,29.24,10,-2.35,9.22,1,0.02,26.89,0.78,,,
84322,TEXAS_HOLDEM,RING,25,27269270002,2726927,1,500,272692700022726000,208,329,5/23/2025 14:56,5/23/2025 14:56,,0,1065.89,500,0,500,0,,1065.89,,,,
107137,TEXAS_HOLDEM,ALLINFOLD,5,8803620418,880362,2,50,8803620418880360,208,329,5/23/2025 19:42,5/23/2025 19:42,,1.83,93.72,50,32.66,18.4,1,0.98,126.38,31.6,,,
119149,TEXAS_HOLDEM,RING,200,27281120227,2728112,4,10000,272811202272728000,208,329,5/23/2025 22:07,5/23/2025 22:07,,926.53,40174.31,10000,9290,3895.79,2,188.79,49464.31,6104.21,,,
137717,TEXAS_HOLDEM,ALLINFOLD,1,8808250026,880825,3,15,8808250026880820,208,329,5/24/2025 0:45,5/24/2025 0:45,,0.57,28.74,15,9.89,5.46,2,0.29,38.63,9.54,,,
155094,TEXAS_HOLDEM,RING,10,27287760421,2728776,2,250,272877604212728000,208,329,5/24/2025 3:53,5/24/2025 3:53,,0,538.49,250,0,250,0,,538.49,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
